launch_date,brand,model,height_mm,brand_color
2014-12-01,Intex,Aqua Xtreme,144,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-01-01,Intex,Aqua Star L,141,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-02-01,Intex,Aqua Star 2,142,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-02-01,Intex,Aqua Speed,136,"rgba( 237 ,  27 ,  36 , 0.2)"
2014-11-01,Intex,Aqua Power,141,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-04-01,Intex,Aqua Power +,147,"rgba( 237 ,  27 ,  36 , 0.2)"
2014-12-01,Intex,Aqua 4.5E,133.4,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-01-01,Lenovo,P90,150,"rgba( 0 ,  61 ,  123 , 0.2)"
2015-01-01,Lenovo,Vibe X2 Pro,146.3,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-12-01,Lenovo,K3,141,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-12-01,Lenovo,Golden Warrior Note 8,169.3,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-11-01,Lenovo,A916,149.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-10-01,Lenovo,A319,123.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-10-01,Lenovo,S856,151,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-09-01,Lenovo,S580,139.8,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-11-01,Lenovo,S90 Sisley,146,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-09-01,Lenovo,A606,141.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-10-01,Lenovo,Yoga Tablet 2 10.1,255,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-10-01,Lenovo,Yoga Tablet 2 8.0 ,210,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-09-01,Lenovo,Tab S8,209.8,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-09-01,Lenovo,Vibe X2,140.2,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-09-01,Lenovo,Vibe Z2,148.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-03-01,Lenovo,A850+,150,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-08-01,Lenovo,Vibe Z2 Pro,156,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-07-01,Lenovo,Golden Warrior A8,140.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-05-01,Lenovo,Golden Warrior S8,146,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-05-01,Lenovo,S939,159,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-07-01,Lenovo,S750,135,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-05-01,Lenovo,A889,164,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-05-01,Lenovo,A680,145,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-04-01,Lenovo,A316i,117,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-07-01,Lenovo,A328,132,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-07-01,Lenovo,A536,139.6,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-04-01,Lenovo,A526,132,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-04-01,Lenovo,A10-70 A7600,264.1,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-04-01,Lenovo,A8-50 A5500,217,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-04-01,Lenovo,A7-50 A3500,198,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-04-01,Lenovo,A7-30 A3300,198,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-02-01,Lenovo,Yoga Tablet 10 HD+,261,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-02-01,Lenovo,S860,149.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-02-01,Lenovo,S850,141,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-02-01,Lenovo,S660,137,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-01-01,Lenovo,A880,164,"rgba( 0 ,  61 ,  123 , 0.2)"
2014-01-01,Lenovo,A859,142,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-12-01,Lenovo,S930,170,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-12-01,Lenovo,S650,138,"rgba( 0 ,  61 ,  123 , 0.2)"
